Sw_ReqId,Verfication File Name,Verification File Version,PIL Test case #,PIL Test Vector #,PIL  Test Status,PIL Comments
.SwReqId, .PILSpecName, .PILSpecVer, .PILTestCase, .PILTestVector, .PILTestStatus, .PILComments
ES050A_621,DigMSB_PIL.pdbx,2,TC_ES050A_621_B_1,TV_621_B_TC1_10 - TV_621_B_TC1_20,PASS,11 out of 11 Passed
ES050A_620,DigMSB_PIL.pdbx,2,TC_ES050A_620_B_1,"TV_620_B_TC1_3 - TV_620_B_TC1_8,TV_620_B_TC1_17 - TV_620_B_TC1_24,TV_620_B_TC1_132 - TV_620_B_TC1_139",PASS,16 out of 16 Passed
ES050A_625,DigMSB_PIL.pdbx,2,TC_ES050A_625_B_1,TV_625_B_TC1_13 - TV_625_B_TC1_16,PASS,4 out of 4 Passed
ES050A_624,DigMSB_PIL.pdbx,2,"TC_ES050A_624_B_1
TC_ES050A_624_B_2","TV_624_B_TC1_9 - TV_624_B_TC1_10,TV_624_B_TC1_31 - TV_624_B_TC1_32",PASS,4 out of 4 Passed
ES050A_628,DigMSB_PIL.pdbx,2,TC_ES050A_628_P_1 ,TV_628_P_TC1_22 - TV_628_P_TC1_24,PASS,3 out of 3 Passed
ES050A_652,DigMSB_PIL.pdbx,2,TC_ES050A_652_B_1 ,"TV_652_B_TC1_1, TV_652_B_TC1_2",PASS,2 out of 2 Passed
ES050A_653,DigMSB_PIL.pdbx,2,TC_ES050A_533_B_1 ,"TV_533_P_TC1_1, TV_533_P_TC1_2,TV_533_P_TC2_3,TV_533_P_TC2_4",PASS,4 out of 4 Passed
ES050A_650,DigMSB_PIL.pdbx,2,TC_ES050A_650_B_1 ,"TV_650_P_TC1_1,TV_650_P_TC1_2,TV_650_P_TC1_11",PASS,3 out of 3 Passed
ES050A_651,DigMSB_PIL.pdbx,2,TC_ES050A_651_B_1 ,TV_651_P_TC1_2,PASS,1 out of 1 Passed
ES050A_506,DigMSB_PIL.pdbx,2,TC_ES050A_506_B_1 ,"TV_506_B_TC1_6-TV_506_B_TC1_20,TV_506_B_TC1_161-TV_506_B_TC1_163",PASS,4 out of 4 Passed
ES050A_504,DigMSB_PIL.pdbx,2,TC_ES050A_504_B_1 ,"TV_504_B_TC1_6-TV_504_B_TC1_20,TV_504_B_TC1_161-TV_504_B_TC1_163",PASS,4 out of 4 Passed
ES050A_502,DigMSB_PIL.pdbx,2,TC_ES050A_502_P_1,TV_502_P_TC1_18 - TV_480_P_TC1_21,PASS,4 out of 4 Passed
ES050A_630,DigMSB_PIL.pdbx,2,TC_ES050A_630_P_1,"TV_630_P_TC1_1-TV_630_P_TC1_3,TV_630_P_TC1_17",PASS,3 out of 3 Passed
ES050A_631,DigMSB_PIL.pdbx,2,TC_ES050A_631_P_1,"TV_631_P_TC1_1-TV_631_P_TC1_3,TV_631_P_TC1_17",PASS,3 out of 3 Passed
ES050A_632,DigMSB_PIL.pdbx,2,TC_ES050A_632_P_1,TV_632_B_TC1_92-TV_632_B_TC1_95,PASS,3 out of 3 Passed
ES050A_633,DigMSB_PIL.pdbx,2,TC_ES050A_633_P_1,"TV_634_P_TC1_1,TV_634_P_TC1_4",PASS,2 out of 2 Passed
ES050A_634,DigMSB_PIL.pdbx,2,TC_ES050A_634_P_1,"TV_634_P_TC1_1,TV_634_P_TC1_2",PASS,2 out of 2 Passed
ES050A_635,DigMSB_PIL.pdbx,2,TC_ES050A_541_P_1,"TV_541_P_TC1_6, TV_541_P_TC1_28,TV_541_P_TC1_30",PASS,3 out of 3 Passed
ES050A_636,DigMSB_PIL.pdbx,2,TC_ES050A_636_P_1,TV_636_P_TC1_32- TV_636_P_TC1_37,PASS,5 out of 5 Passed
ES050A_637,DigMSB_PIL.pdbx,2,TC_ES050A_637_P_1,TV_637_P_TC1_22- TV_637_P_TC1_24,PASS,3 out of 3 Passed
ES050A_638,DigMSB_PIL.pdbx,2,TC_ES050A_540_P_1,"TV_540_P_TC1_35, TV_540_P_TC1_36,TV_540_P_TC1_37",PASS,3 out of 3 Passed
ES050A_609,DigMSB_PIL.pdbx,2,TC_ES050A_609_P_1,TV_609_P_TC1_1,PASS,1 out of 1 Passed
ES050A_466,DigMSB_PIL.pdbx,2,TC_ES050A_466_P_1,"TV_466_P_TC1_20,TV_466_P_TC1_27",PASS,2 out of 2 Passed
ES050A_464,DigMSB_PIL.pdbx,2,TC_ES050A_464_P_1,"TV_464_P_TC1_1-TV_464_P_TC1_2,TV_464_P_TC1_21-TV_464_P_TC1_22",PASS,4 out of 4 Passed
ES050A_555,DigMSB_PIL.pdbx,2,TC_ES050A_555_P_1,TV_555_P_TC1_1,PASS,1 out of 1 Passed
ES050A_556,DigMSB_PIL.pdbx,2,TC_ES050A_555_P_1,TV_556_P_TC1_1-TV_556_P_TC1_2,PASS,2 out of 2 Passed
ES050A_551,DigMSB_PIL.pdbx,2,TC_ES050A_551_P_1,TV_551_P_TC1_1,PASS,1 out of 1 Passed
ES050A_468,DigMSB_PIL.pdbx,2,TC_ES050A_468_P_1,"TV_468_P_TC1_20,TV_468_P_TC1_27",PASS,2 out of 2 Passed
ES050A_639,DigMSB_PIL.pdbx,2,TC_ES050A_639_B_1 ,TV_639_B_TC1_21 - TV_639_B_TC1_25,PASS,5 out of 5 Passed
ES050A_618,DigMSB_PIL.pdbx,2,TC_ES050A_618_B_1,TV_618_B_TC1_3 - TV_618_B_TC1_8,PASS,6 out of 6 Passed
ES050A_612,DigMSB_PIL.pdbx,2,TC_ES050A_612_B_1,TV_611_B_TC1_92-TV_611_B_TC1_95,PASS,3 out of 3 Passed
ES050A_611,DigMSB_PIL.pdbx,2,"TC_ES050A_611_P_1,
TC_ES050A_611_B_1,
TC_ES050A_611_P_2","TV_611_P_TC1_12-TV_611_P_TC1_14,TV_611_B_TC1_51 - TV_611_B_TC1_53,TV_611_P_TC2_5,TV_611_P_TC2_6",PASS,10 out of 10 Passed
ES050A_616,DigMSB_PIL.pdbx,2,"TC_ES050A_616_B_1,TC_ES050A_616_P_1","TV_616_B_TC1_75-TV_616_B_TC1_79,TV_616_P_TC1_2,TV_616_P_TC1_12-TV_616_P_TC1_14",PASS,9 out of 9 Passed
ES050A_617,DigMSB_PIL.pdbx,2,TC_ES050A_617_P_1,"TV_617_P_TC1_1-TV_617_P_TC1_3,TV_617_P_TC1_17",PASS,4 out of 4 Passed
ES050A_614,DigMSB_PIL.pdbx,2,TC_ES050A_614_P_1,"TV_614_P_TC1_1-TV_614_P_TC1_3,TV_614_P_TC1_17",PASS,4 out of 4 Passed
ES050A_615,DigMSB_PIL.pdbx,2,TC_ES050A_615_P_1,"TV_615_P_TC1_1-TV_615_P_TC1_3,TV_615_P_TC1_17",PASS,4 out of 4 Passed
ES050A_488,DigMSB_PIL.pdbx,2,TC_ES050A_488_P_1,TV_488_P_TC1_1,PASS,1 out of 1 Passed
ES050A_484,DigMSB_PIL.pdbx,2,TC_ES050A_484_B_1,"TV_484_B_TC1_6-TV_484_B_TC1_20,TV_484_B_TC1_161-TV_484_B_TC1_163",PASS,17 out of 17 Passed
ES050A_482,DigMSB_PIL.pdbx,2,TC_ES050A_482_P_1 ,TV_482_P_TC1_2,PASS,1 out of 1 Passed
ES050A_480,DigMSB_PIL.pdbx,2,TC_ES050A_480_P_1 ,TV_480_P_TC1_12 - TV_480_P_TC1_20,PASS,9 out of 9 Passed
ES050A_472,DigMSB_PIL.pdbx,2,TC_ES050A_472_P_1,"TV_472_P_TC1_20,TV_472_P_TC1_27",PASS,2 out of 2 Passed
